ticker,company,industry,source_sector,source_industry,classification_source,source_url
QTRX,Quanterix Corporation Common Stock,Healthcare Devices and Supplies,Healthcare,Medical Devices,Current StockAnalysis company profile (2026),https://stockanalysis.com/stocks/qtrx/
GCMG,GCM Grosvenor Inc. Class A Common Stock,Capital Markets/Institutions,Finance,Investment Managers,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
TNXP,Tonix Pharmaceuticals Holding Corp. Common Stock,Pharmaceuticals and Biotechnology,Health Care,Biotechnology: Pharmaceutical Preparations,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
JRSH,Jerash Holdings (US) Inc. Common Stock,Apparel and Accessories,Consumer Discretionary,Apparel,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
LINC,Lincoln Educational Services Corporation Common Stock,Services (Non-Financial),Consumer,Education services,Current business fit override,https://stockanalysis.com/stocks/linc/
SBET,SharpLink Gaming Inc. Common Stock,Software,Technology,Computer Software: Prepackaged Software,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
POWW,AMMO Inc. Common Stock,Commercial Products,Industrials,Ordnance And Accessories,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
CRC,California Resources Corporation Common Stock,"Exploration, Production and Refining",Energy,Oil & Gas Production,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
BW,Babcock & Wilcox Enterprises Inc. Common Stock,Commercial Products,Industrials,Building Products,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
HROW,Harrow Inc. Common Stock,Pharmaceuticals and Biotechnology,Health Care,Biotechnology: Pharmaceutical Preparations,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
IHRT,iHeartMedia Inc. Class A Common Stock,Media,Consumer Discretionary,Broadcasting,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),Chemicals and Gases,Industrials,Agricultural Chemicals,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
GUTS,"Fractyl Health, Inc.",Pharmaceuticals and Biotechnology,Healthcare,Biotechnology,Current StockAnalysis company profile (2026),https://stockanalysis.com/stocks/guts/
BWMN,Bowman Consulting Group Ltd. Common Stock,Commercial Services,Consumer Discretionary,Professional Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
MLAB,Mesa Laboratories Inc. Common Stock,Commercial Products,Industrials,Industrial Machinery/Components,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
DJT,Trump Media & Technology Group Corp. Common Stock,IT Services,Technology,Computer Software: Programming Data Processing,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
PAL,Proficient Auto Logistics Inc. Common Stock,Commercial Transportation,Consumer Discretionary,Auto logistics,Current business fit override,https://stockanalysis.com/stocks/pal/
MCW,Mister Car Wash Inc. Common Stock,Retail,Consumer Discretionary,Automotive Aftermarket,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
CXAI,CXApp Inc. Class A Common Stock,IT Services,Technology,EDP Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
ARQ,Arq Inc. Common Stock,Chemicals and Gases,Industrials,Major Chemicals,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
NGS,Natural Gas Services Group Inc. Common Stock,Energy Services,Energy,Oilfield Services/Equipment,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
AAON,AAON Inc. Common Stock,Commercial Products,Industrials,Industrial Machinery/Components,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
MG,Mistras Group Inc Common Stock,Commercial Services,Consumer Discretionary,Military/Government/Technical,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
PLUG,Plug Power Inc. Common Stock,Commercial Products,Energy,Industrial Machinery/Components,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
BBIO,BridgeBio Pharma Inc. Common Stock,Pharmaceuticals and Biotechnology,Health Care,Biotechnology: Pharmaceutical Preparations,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
ALTI,AlTi Global Inc. Class A Common Stock,Capital Markets/Institutions,Finance,Investment Managers,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
HPK,HighPeak Energy Inc. Common Stock,"Exploration, Production and Refining",Energy,Oil & Gas Production,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
UPWK,Upwork Inc. Common Stock,IT Services,Technology,EDP Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
DSP,Viant Technology Inc. Class A Common Stock,IT Services,Technology,Computer Software: Programming Data Processing,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
AREN,The Arena Group Holdings Inc. Common Stock,IT Services,Technology,EDP Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
CBLL,CeriBell Inc. Common Stock,Healthcare Devices and Supplies,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
BODI,The Beachbody Company Inc. Class A Common Stock,Services (Non-Financial),Consumer Discretionary,Other Consumer Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
RDVT,Red Violet Inc. Common Stock,Software,Technology,Computer Software: Prepackaged Software,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
GCTS,GCT Semiconductor Holding Inc. Common Stock,Semiconductors,Technology,Semiconductors,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
GPRO,GoPro Inc. Class A Common Stock,Consumer Durables,Consumer Discretionary,Consumer cameras/electronics,Current business fit override,https://stockanalysis.com/stocks/gpro/
IMDX,Insight Molecular Diagnostics Inc.,Other Healthcare,Healthcare,Diagnostics & Research,Current StockAnalysis company profile (2026),https://stockanalysis.com/stocks/imdx/
SHIM,Shimmick Corporation Common Stock,Commercial Services,Industrials,Military/Government/Technical,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
HFFG,HF Foods Group Inc. Common Stock,Other Business Products and Services,Consumer Discretionary,Food Distributors,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
GAME,GameSquare Holdings Inc. Common Stock,"Restaurants, Hotels and Leisure",Consumer Discretionary,Services-Misc. Amusement & Recreation,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
RUM,Rumble Inc. Class A Common Stock,IT Services,Technology,Computer Software: Programming Data Processing,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
QMCO,Quantum Corporation Common Stock,Other Information Technology,Technology,Electronic Components,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
GENK,GEN Restaurant Group Inc. Class A Common Stock,"Restaurants, Hotels and Leisure",Consumer Discretionary,Restaurants,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
RPAY,Repay Holdings Corporation Class A Common Stock,Commercial Services,Consumer Discretionary,Business Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
ALCO,"Alico, Inc.",Agriculture,Consumer Staples,Farm Products,Current StockAnalysis company profile (2026),https://stockanalysis.com/stocks/alco/
RKLB,Rocket Lab USA Inc. Common Stock,Commercial Services,Industrials,Military/Government/Technical,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
TCMD,Tactile Systems Technology Inc. Common Stock,Healthcare Devices and Supplies,Health Care,Medical/Dental Instruments,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
PLBY,PLBY Group Inc. Common Stock,Retail,Consumer Discretionary,Other Specialty Stores,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
HNRG,Hallador Energy Company Common Stock,Other Energy,Energy,Coal Mining,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
TTEC,TTEC Holdings Inc. Common Stock,Commercial Services,Consumer Discretionary,Professional Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
GAIA,Gaia Inc. Class A Common Stock,Media,Consumer Discretionary,Movies/Entertainment,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
ACHR,Archer Aviation Inc. Class A Common Stock,Commercial Products,Industrials,Aerospace,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
EVC,Entravision Communications Corporation Common Stock,Media,Industrials,Broadcasting,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
APEI,American Public Education Inc. Common Stock,Services (Non-Financial),Consumer,Education services,Current business fit override,https://stockanalysis.com/stocks/apei/
PRPL,Purple Innovation Inc. Common Stock,Consumer Durables,Consumer Discretionary,Home Furnishings,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
SRFM,Surf Air Mobility Inc. Common Stock,Transportation,Consumer Discretionary,Transportation Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
HIMS,Hims & Hers Health Inc. Class A Common Stock,Healthcare Services,Health Care,Medical/Nursing Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
WBTN,WEBTOON Entertainment Inc. Common stock,Media,Consumer Discretionary,Publishing,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
PIII,P3 Health Partners Inc. Class A Common Stock,Healthcare Services,Health Care,Medical/Nursing Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
BNGO,Bionano Genomics Inc. Common Stock,Healthcare Devices and Supplies,Industrials,Biotechnology: Laboratory Analytical Instruments,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
RPD,Rapid7 Inc. Common Stock,Software,Technology,Computer Software: Prepackaged Software,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
QUBT,Quantum Computing Inc. Common Stock,Software,Technology,Computer Software: Prepackaged Software,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
EXOD,Exodus Movement Inc. Class A Common Stock,Other Financial Services,Finance,Finance: Consumer Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
TELA,TELA Bio Inc. Common Stock,Healthcare Devices and Supplies,Health Care,Medical/Dental Instruments,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
HQI,HireQuest Inc. Common Stock (DE),Commercial Services,Consumer Discretionary,Professional Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
ACM,AECOM Common Stock,Commercial Services,Consumer Discretionary,Military/Government/Technical,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
ACVA,ACV Auctions Inc. Class A Common Stock,Commercial Services,Consumer Discretionary,Business Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
VREX,Varex Imaging Corporation Common Stock,Healthcare Devices and Supplies,Healthcare,Medical imaging / X-ray components,Current business fit override,https://stockanalysis.com/stocks/vrex/
OPFI,OppFi Inc. Class A Common Stock,Other Financial Services,Finance,Finance: Consumer Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
DH,Definitive Healthcare Corp. Class A Common Stock,Software,Technology,Computer Software: Prepackaged Software,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
NUS,Nu Skin Enterprises Inc. Common Stock,Pharmaceuticals and Biotechnology,Health Care,Other Pharmaceuticals,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
GETY,Getty Images Holdings Inc. Class A Common Stock,Commercial Services,Consumer Discretionary,Business Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
FF,FutureFuel Corp.  Common shares,Chemicals and Gases,Industrials,Major Chemicals,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
CNNE,Cannae Holdings Inc. Common Stock,"Restaurants, Hotels and Leisure",Consumer Discretionary,Restaurants,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
HLIO,Helios Technologies Inc. Common Stock,Commercial Products,Industrials,Metal Fabrications,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
BKD,Brookdale Senior Living Inc. Common Stock,Healthcare Services,Health Care,Hospital/Nursing Management,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
BZH,Beazer Homes USA Inc. Common Stock,Consumer Durables,Consumer Discretionary,Homebuilding,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
SMC,Summit Midstream Corporation Common Stock,Utilities,Utilities,Natural Gas Distribution,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
FLNT,Fluent Inc. Common Stock,Media,Consumer Discretionary,Advertising,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
ARKR,Ark Restaurants Corp. Common Stock,"Restaurants, Hotels and Leisure",Consumer Discretionary,Restaurants,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
BKKT,Bakkt Holdings Inc. Class A Common Stock,Other Financial Services,Finance,Finance: Consumer Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
ASTS,AST SpaceMobile Inc. Class A Common Stock,Communications and Networking,Technology,Satellite communications network,Current business fit override,https://stockanalysis.com/stocks/asts/
AMTM,Amentum Holdings,Commercial Services,Industrials,Specialty Business Services,Current StockAnalysis company profile (2026),https://stockanalysis.com/stocks/amtm/
AP,Ampco-Pittsburgh Corporation Common Stock,Commercial Products,Industrials,Fluid Controls,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
TXNM,TXNM Energy Inc. Common Stock,Utilities,Utilities,Electric Utilities: Central,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
ARMK,Aramark Common Stock,"Restaurants, Hotels and Leisure",Consumer Discretionary,Restaurants,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
DRIO,DarioHealth Corp. Common Stock,Healthcare Devices and Supplies,Health Care,Medical/Dental Instruments,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
CAH,Cardinal Health Inc. Common Stock,Pharmaceuticals and Biotechnology,Health Care,Other Pharmaceuticals,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
JBI,Janus International Group Inc. Common Stock,Commercial Products,Industrials,Building Products,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
AVXL,Anavex Life Sciences Corp. Common Stock,Pharmaceuticals and Biotechnology,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
DFH,Dream Finders Homes Inc. Class A Common Stock,Consumer Durables,Consumer Discretionary,Homebuilding,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
FNWB,First Northwest Bancorp Common Stock,Commercial Banks,Finance,Banks,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
MASS,908 Devices Inc. Common Stock,Commercial Products,Industrials,Industrial Machinery/Components,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
BWEN,Broadwind Inc. Common Stock,Commercial Products,Telecommunications,Metal Fabrications,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
NRXS,Neuraxis Inc. Common Stock,Healthcare Devices and Supplies,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
PESI,Perma-Fix Environmental Services Inc. Common Stock,Commercial Services,Industrials,Environmental Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
SYBT,Stock Yards Bancorp Inc. Common Stock,Commercial Banks,Finance,Major Banks,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
CLST,Catalyst Bancorp Inc. Common Stock,Commercial Banks,Finance,Savings Institutions,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
MIDD,Middleby Corporation (The) Common Stock,Commercial Products,Industrials,Industrial Machinery/Components,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
HBIO,Harvard Bioscience Inc. Common Stock,Healthcare Devices and Supplies,Industrials,Biotechnology: Laboratory Analytical Instruments,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
